,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
231,27,525,525,active,False,0,29,1,1671325234,3,1,1,1,2022-12-18 01:15:16.607891,,
232,26,526,526,active,False,0,12,11,1671325687,1,1,1,1,2022-12-18 01:15:16.607891,,
233,7,528,528,active,False,0,26,1,1671325903,2,1,1,1,2022-12-18 01:15:16.607891,,
234,21,529,529,active,False,0,7,7,1671325817,11,1,1,1,2022-12-18 01:15:16.607891,,
235,1,530,530,active,False,0,22,0,1671325050,0,1,1,1,2022-12-18 01:15:16.607891,,
236,57,531,531,active,False,0,8,10,1671325537,0,1,1,1,2022-12-18 01:15:16.607891,,
237,29,532,532,active,False,0,9,3,1671325676,3,1,1,1,2022-12-18 01:15:16.607891,,
238,6,536,536,active,False,0,17,3,1671325239,3,1,1,1,2022-12-18 01:15:16.607891,,
239,25,537,537,active,False,0,50,1,1671326020,1,1,1,1,2022-12-18 01:15:16.607891,,
240,18,539,539,active,False,0,5,1,1671325653,6,1,1,1,2022-12-18 01:15:16.607891,,
241,7,540,540,active,False,0,47,3,1671326125,0,1,1,1,2022-12-18 01:15:16.607891,,
242,10,545,545,active,False,0,14,4,1671325413,1,1,1,1,2022-12-18 01:15:16.607891,,
243,8,546,546,active,False,0,34,0,1671325341,2,1,1,1,2022-12-18 01:15:16.607891,,
244,46,2002,2002,active,False,0,8,4,1671325884,3,1,1,1,2022-12-18 01:15:16.607891,,
245,17,2003,2003,active,False,0,35,2,1671326121,1,1,1,1,2022-12-18 01:15:16.607891,,
246,51,2006,2006,active,False,0,22,14,1671325554,0,1,1,1,2022-12-18 01:15:16.607891,,
247,17,2008,2008,active,False,0,14,4,1671322051,1,1,1,1,2022-12-18 01:15:16.607891,,
248,28,2009,2009,active,False,0,3,2,1671325741,3,1,1,1,2022-12-18 01:15:16.607891,,
249,31,2010,2010,active,False,0,7,8,1671325410,4,1,1,1,2022-12-18 01:15:16.607891,,
250,12,2012,2012,active,False,0,45,0,1671325545,0,1,1,1,2022-12-18 01:15:16.607891,,
251,2,2017,2017,active,False,0,50,0,1671324578,0,1,1,1,2022-12-18 01:15:16.607891,,
252,20,2021,2021,active,False,0,41,10,1671325751,1,1,1,1,2022-12-18 01:15:16.607891,,
253,20,2022,2022,active,False,0,11,10,1671324811,0,1,1,1,2022-12-18 01:15:16.607891,,
254,47,3016,3016,active,False,1,4,2,1671325716,1,1,1,1,2022-12-18 01:15:16.607891,,
255,1,3041,3041,active,False,0,23,1,1671325566,0,1,1,1,2022-12-18 01:15:16.607891,,
256,11,3042,3042,active,False,0,5,2,1671323067,1,1,1,1,2022-12-18 01:15:16.607891,,
257,5,3043,3043,active,False,0,11,1,1671323315,3,1,1,1,2022-12-18 01:15:16.607891,,
258,0,3044,3044,active,False,0,27,0,1671314271,0,1,1,1,2022-12-18 01:15:16.607891,,
259,1,3046,3046,active,False,0,18,1,1671324826,0,1,1,1,2022-12-18 01:15:16.607891,,
260,10,3047,3047,active,False,0,10,2,1671324996,1,1,1,1,2022-12-18 01:15:16.607891,,
261,0,3048,3048,out_of_service,False,0,0,0,86400,0,0,0,0,2022-12-18 01:15:16.607891,,
262,2,3049,3049,active,False,0,14,1,1671324503,2,1,1,1,2022-12-18 01:15:16.607891,,
263,1,3050,3050,active,False,0,20,1,1671323704,0,1,1,1,2022-12-18 01:15:16.607891,,
264,0,3052,3052,active,False,0,23,0,1671325939,0,1,1,1,2022-12-18 01:15:16.607891,,
265,2,3053,3053,active,False,0,19,1,1671324370,2,1,1,1,2022-12-18 01:15:16.607891,,
266,2,3054,3054,active,False,0,16,0,1671325945,0,1,1,1,2022-12-18 01:15:16.607891,,
